Sort_Order,Animal_ID,Year,Season,Departure_UTC,Arrival_UTC,Departure_Local,Arrival_Local,Flight_Duration_Hours,Stage,Overall_Duration_Days,Final_Destination,Departure_Site,Arrival_Site,Stay_Duration_Hours
75,MAGO_7H,2012,spring,4/19/2012 14:13,4/20/2012 4:28,4/19/2012 6:13,4/19/2012 20:28,14.25,N1,NA,N,moss,willapa_grays,309.12
76,MAGO_7H,2012,spring,5/3/2012 1:35,5/5/2012 4:05,5/2/2012 17:35,5/4/2012 19:05,50.50,N2,NA,N,willapa_grays,kamishak,37.73
77,MAGO_7H,2012,spring,5/6/2012 17:49,5/6/2012 22:06,5/6/2012 8:49,5/6/2012 13:06,4.28,N3,NA,N,kamishak,becharoftundra,52.27
78,MAGO_7H,2012,spring,5/9/2012 2:22,5/9/2012 3:31,5/8/2012 17:22,5/8/2012 18:31,1.16,N4,19.55,Y,becharoftundra,ugashik,NA
79,MAGO_8C,2008,fall,7/18/2008 4:09,7/19/2008 18:10,7/17/2008 19:09,7/19/2008 10:10,38.02,S1,NA,N,ugashik,vancouver_is,299.66
80,MAGO_8C,2008,fall,8/1/2008 5:50,8/2/2008 7:57,7/31/2008 21:50,8/1/2008 23:57,26.12,S2,15.16,Y,vancouver_is,bodega_drakes,6511.56
81,MAGO_8C,2009,spring,4/30/2009 15:30,5/2/2009 19:28,4/30/2009 7:30,5/2/2009 10:28,51.96,N1,NA,N,bodega,controller,60.32
82,MAGO_8C,2009,spring,5/5/2009 7:47,5/5/2009 11:30,5/4/2009 22:47,5/5/2009 2:30,3.71,N2,NA,N,controller,montague,52.19
83,MAGO_8C,2009,spring,5/7/2009 15:41,5/7/2009 18:57,5/7/2009 6:41,5/7/2009 9:57,3.26,N3,NA,N,montague,controller,87.55
84,MAGO_8C,2009,spring,5/11/2009 10:30,5/11/2009 23:30,5/11/2009 1:30,5/11/2009 14:30,13.00,N4,NA,N,controller,chiginagak,8.14
85,MAGO_8C,2009,spring,5/12/2009 7:39,5/12/2009 9:04,5/11/2009 22:39,5/12/2009 0:04,1.41,N5,11.73,Y,chiginagak,ugashik,NA
86,MAGO_8Y,2008,fall,7/28/2008 8:18,7/29/2008 12:32,7/27/2008 23:18,7/29/2008 4:32,28.23,S1,NA,N,ugashik,grays,89.94
87,MAGO_8Y,2008,fall,8/2/2008 6:29,8/2/2008 15:31,8/1/2008 22:29,8/2/2008 7:31,9.04,S2,NA,N,grays,humboldt,181.59
